(0.011910032876808243,0.059322579022105928)
(0.028535214614153058,0.056383389453785709)
(0.042648797582053102,0.048477097402138861)
(0.053003520933830268,0.036380971389754060)
(0.058718376290281177,0.021237464813594138)
(0.059351846376521009,0.004439509721742927)
(0.054932318235744557,-0.012503791778360255)
(0.045944037579982160,-0.028107884740129752)
(0.033271222718189344,-0.041046584071496896)
(0.018106816344990461,-0.050266858528011694)
(0.001835465166581773,-0.055074692574757035)
(-0.014097588488799360,-0.055185239475357653)
(-0.028319102620084864,-0.050734078159564620)
(-0.039649620950801649,-0.042250122535216268)
(-0.047203593494445202,-0.030594244773542709)
(-0.050459381072126157,-0.016870643372104921)
(-0.049293789807923254,-0.002320160674283013)
(-0.043979254245099325,0.011794029885859904)
(-0.035145295881609431,0.024297752570022861)
(-0.023709099781273488,0.034204350942657238)
(-0.010782689874719118,0.040792227864319353)
(0.002433975051699355,0.043655535512271942)
(0.014763752486715786,0.042724860274317690)
(0.025156745455844103,0.038257594594298852)
(0.032779228051763441,0.030800400363692273)
(0.037079664494457001,0.021128506968225141)
(0.037826792105652637,0.010168362385492820)
(0.035117463231442402,-0.001088756983790559)
(0.029354754853907757,-0.011674225888094539)
(0.021199499869473060,-0.020723063860039859)
(0.011500641248085140,-0.027541883851371435)
(0.001211477168409492,-0.031658757937640079)
(-0.008700169635902090,-0.032851817825193141)
(-0.017339614602889044,-0.031155410895611323)
(-0.023963090116504906,-0.026844597403017027)
(-0.028039109551166938,-0.020400534286437982)
(-0.029288594485797778,-0.012460711076103012)
(-0.027701002093677863,-0.003758990160550538)
(-0.078589711189798697,-0.015290923666398171)
(-0.073592086723314534,0.006760537534539710)
(-0.063150009531678125,0.027187210553312229)
(-0.048210160403690215,0.044391806660484555)
(-0.030096761347561587,0.057021989530445946)
(-0.010412746415116185,0.064105933272115043)
(0.009096266061908711,0.065155896143514677)
(0.026700481095505126,0.060224986269224463)
(0.040848726291623956,0.049908973403339510)
(0.050316819441172188,0.035292311612435540)
(0.054324837030452794,0.017844363023397616)
(0.052610629301753420,-0.000722646402824448)
(0.045452150453735775,-0.018618619278296833)
(0.033636871852781629,-0.034146351782248480)
(0.018382076612929565,-0.045860933650306461)
(0.001214672385266537,-0.052702381314584670)
(-0.016177087205249255,-0.054089232483230165)
(-0.032105177950091615,-0.049964979226775473)
(-0.045040968002053969,-0.040793961666119961)
(-0.053756850660838358,-0.027508240009829803)
(-0.057437223395035895,-0.011411566355872626)
(-0.055748868069921929,0.005949519568519711)
(-0.048864832492913825,0.022934586711841957)
(-0.037440432094654960,0.037963743730925682)
(-0.022544549023433870,0.049662981425773522)
(-0.005553570392036749,0.056987029404593201)
(0.011981313144991542,0.059308798385090983)
(0.028480442097912541,0.056467922220137204)
(0.042481655622653380,0.048774972592836613)
(0.052772254443298472,0.036972185137445768)
(0.058494973884507376,0.022155590931096127)
(0.059218729581648796,0.005666908419820786)
(0.054968447753492751,-0.011033894086159556)
(0.046212279152699251,-0.026503018294460820)
(0.033808526711900225,-0.039441667673629062)
(0.018918306298185826,-0.048807684687478863)
(0.002892968953946060,-0.053900399874024334)
(-0.012852620113279615,-0.054411926963149636)
(-0.026968888005328543,-0.050441480366020260)
(-0.038290581542486907,-0.042472811855400229)
(-0.045935440359438695,-0.031318224953571845)
(-0.049374165140682838,-0.018035522396331462)
(-0.048466248550190348,-0.003826426620755617)
(-0.043459550750134565,0.010073682822679585)
(-0.034954889924170236,0.022504525223663807)
(-0.023840065165390910,0.032478574892484707)
(-0.011200354150660275,0.039259460915425939)
(0.001785589189902560,0.042415055514706437)
(0.013954514038021221,0.041841736402249891)
(0.024262048825614585,0.037759033395347835)
(0.031871744085555327,0.030676522458294837)
(0.036222195337283949,0.021337176354160138)
(0.037067014475796203,0.010643227346025432)
(0.034485056163509407,-0.000428191884595570)
(0.028861073294826192,-0.010911857605833962)
(0.020839618940388563,-0.019936145243332006)
(0.011257299926401901,-0.026792878953049451)
